district,diff,n,p
az06,0.6666666666666667,7,0.010622154779969651
azse,0.28,51,0.07738998482549317
ca10,0.4285714285714286,30,0.04552352048558422
ca25,-0.08333333333333331,24,0.036418816388467376
ca39,0.05882352941176472,18,0.027314112291350532
ca49,0.5714285714285714,29,0.04400606980273141
fl15,0.6923076923076923,15,0.02276176024279211
fl26,0.7142857142857142,17,0.025796661608497723
fl27,0.14285714285714285,18,0.027314112291350532
flgo,-0.17647058823529416,38,0.057663125948406675
flse,0.11764705882352944,38,0.057663125948406675
ia03,0.11111111111111116,23,0.03490136570561457
il06,0.5,12,0.018209408194233688
il12,0.4285714285714286,7,0.010622154779969651
il13,-0.25,19,0.028831562974203338
ks02,0.30000000000000004,29,0.04400606980273141
me02,0.19999999999999996,7,0.010622154779969651
mn08,-0.10000000000000003,25,0.03793626707132018
nc09,0.2765957446808511,54,0.0819423368740516
nj03,0.3333333333333333,8,0.012139605462822459
nj11,0.25,9,0.013657056145675266
nm02,0.25,9,0.013657056145675266
ny11,0,3,0.004552352048558422
ny27,1,1,0.0015174506828528073
oh01,0.3333333333333333,15,0.02276176024279211
pa01,-0.3333333333333333,3,0.004552352048558422
pa08,0,3,0.004552352048558422
tx07,0.6000000000000001,32,0.048558421851289835
tx23,1,6,0.009104704097116844
ut04,0.5116279069767442,94,0.1426403641881639
va02,-1,4,0.006069802731411229
va05,1,5,0.007587253414264037
va10,1,1,0.0015174506828528073
wa03,0.3333333333333333,3,0.004552352048558422
wv03,-1,1,0.0015174506828528073
